week_start_date,QTY,Total Price
2021-06-20,18764.0,189580.8524735
2021-06-27,3145.0,40742.96772
2021-07-04,12031.0,92108.32163939999
2021-07-11,6664.0,40821.581532000004
2021-07-18,7800.0,78520.5225
2021-07-25,6769.0,41209.69874
2021-08-01,15177.0,172092.383438
2021-08-08,19185.0,144228.703588
2021-08-15,5049.0,54903.584604
2021-08-22,18095.0,161703.71504049998
2021-08-29,31141.0,268503.845477
2021-09-05,13432.0,118988.39477659999
2021-09-12,12757.0,111468.299114
2021-09-19,26748.0,276240.447622
2021-09-26,10690.0,105631.6232
2021-10-03,8099.0,101894.154807
2021-10-10,12940.0,98315.4174625
2021-10-17,12990.0,123579.870147
2021-10-24,26099.5,244904.336876
2021-10-31,39209.0,366228.803605
2021-11-07,11744.0,107278.115447
2021-11-14,12650.0,125936.225496
2021-11-21,55174.0,454098.494002
2021-11-28,15167.0,204062.670451
2021-12-05,26108.0,249231.9906004
2021-12-12,49043.0,438317.1756795
2021-12-19,38150.0,323476.893276
2021-12-26,58861.0,480302.25047800003
2022-01-02,75854.0,683451.493622
2022-01-09,36170.0,295162.936034
2022-01-16,21675.0,263125.88503
2022-01-23,51023.0,508629.1303924
2022-01-30,36865.0,303364.088662
2022-02-06,41769.0,365900.515849
2022-02-13,31552.0,319895.869557
2022-02-20,28131.0,193366.9406048
2022-02-27,60796.0,413698.244283
2022-03-06,83391.0,633742.833508
2022-03-13,129775.0,1188340.8737642
2022-03-20,53542.0,441893.638649
2022-03-27,36972.0,303982.19536599994
2022-04-03,20402.0,166070.75208299997
2022-04-10,3832.0,28159.3088
2022-04-17,3170.0,57237.1488
2022-04-24,29586.0,384478.0121
2022-05-01,42385.0,382623.379
2022-05-08,42375.0,421533.0775
2022-05-15,42365.0,460442.776
2022-05-22,34109.0,339973.9313
2022-05-29,25215.0,323023.65552
2022-06-05,20771.0,230042.32200000001
2022-06-12,42246.0,458843.61825
2022-06-19,53160.0,464936.8348
2022-06-26,35250.0,260798.9375
2022-07-03,66993.0,634479.7052
2022-07-10,21490.0,202620.3348
2022-07-17,33076.0,297432.5746
2022-07-24,20312.0,303250.3195
2022-07-31,10650.0,219891.3455
2022-08-07,25315.0,238928.6125
2022-08-14,11050.0,108183.5
2022-08-21,37191.0,543249.25
2022-08-28,40195.0,456697.5033
2022-09-04,47163.0,498137.905
2022-09-11,51610.0,571165.03096
2022-09-18,19543.0,232117.394
2022-09-25,8008.0,81126.888
